probeId	ensemblId	geneSymbol	minus	plus	AveExpr	F	P.Value	adj.P.Val
1	AF176590.CDS1.S1_s_at	NA	NA	1.26086233126726	1.43980943837044	1.35033588481885	101.489392490668	1.05484081951002e-07	1.14517232729837e-07
2	AF218359.CDS3.S1_at	NA	NA	1.13785732662365	1.27965311630446	1.20875522146406	72.1070363281988	5.93411662702168e-07	6.10370818596359e-07
3	AF243438.CDS12.S1_s_at	NA	NA	1.11850203450162	0.940325657796659	1.02941384614914	61.5966198641764	1.29864713324483e-06	1.31951886089518e-06
4	AF243438.CDS3.S1_s_at	NA	NA	1.1278664690678	1.21301436157919	1.17044041532349	76.4529398782989	4.42613610813611e-07	4.57934484615999e-07
5	AF243438.CDS35.S1_s_at	NA	NA	1.30058238557945	1.59209390810996	1.4463381468447	140.05669248879	2.01472554907567e-08	2.42051699241641e-08
6	AF243438.CDS44.S1_s_at	NA	NA	1.04945774524506	1.23274870118996	1.14110322321751	69.2715934920131	7.25007433958654e-07	7.42508679167183e-07
7	AF243438.CDS53.S1_s_at	NA	NA	1.27468100066853	1.29906830511223	1.28687465289038	81.4059107946655	3.22778832928813e-07	3.36725093093354e-07
8	AF243438.CDS58.S1_s_at	NA	NA	1.4336206605312	1.3860716526125	1.40984615657185	101.488005841157	1.05491435734883e-07	1.14518747367189e-07
9	AJ457967.CDS1.S1_s_at	NA	NA	2.05321819047196	1.92256880320913	1.98789349684054	193.96088999615	3.70333001934404e-09	5.1057603760239e-09
10	AJ457967.CDS2.S1_s_at	NA	NA	5.54703735928739	5.6655603014875	5.60629883038745	1316.75971018062	1.42622479707804e-13	7.29587819404918e-13
11	AY013303.CDS1.S1_s_at	NA	NA	7.46310751664807	6.56032138558743	7.01171445111775	94.6782002870781	1.50262302621012e-07	1.60679418798934e-07
12	AY013303.CDS2.S1_s_at	NA	NA	2.14266415408039	2.15204333358982	2.1473537438351	129.401672260351	3.03210202398667e-08	3.54978021018472e-08
13	AY579780.CDS4.S1_at	NA	NA	1.60344546295745	1.66229480151914	1.6328701322383	129.681437382482	2.99851082751634e-08	3.51328291129894e-08
14	Gga.1.1.S1_at	ENSGALG00000017073	BRCA2	6.75677663675754	5.88442257696926	6.3205996068634	225.110251747103	1.69755057371464e-09	2.51098472071282e-09
15	Gga.10.1.S1_at	ENSGALG00000027720	OTX2	1.82773821396694	1.65366983886701	1.74070402641698	124.738541902056	3.6635332383695e-08	4.22676463610417e-08
16	Gga.100.1.S1_a_at	ENSGALG00000006351	FAS	3.733482331556	3.59993854619927	3.66671043887763	256.214448551747	8.59934454469485e-10	1.35634635046771e-09
17	Gga.1000.1.S1_at	ENSGALG00000008009	BCAP29	7.14068893805188	6.84362075505681	6.99215484655435	1319.17901878929	1.41228559915726e-13	7.239223183328e-13
18	Gga.10000.1.S1_s_at	ENSGALG00000004782	TSEN15	5.44494737774082	4.83941750538742	5.14218244156412	169.520544619854	7.47791493314464e-09	9.71067885811533e-09
19	Gga.10001.1.S1_at	NA	NA	6.72893822386329	6.59159497805005	6.66026660095667	801.27907405775	2.02780937509227e-12	6.47060740161021e-12
20	Gga.10002.1.S1_at	NA	NA	2.58030667408759	4.55967349002335	3.56999008205547	17.5765490565503	0.000409467999907871	0.000409915902189258
21	Gga.10003.1.S1_at	ENSGALG00000003026	MKL2	2.84202169942281	2.50514527034059	2.6735834848817	245.097263154475	1.08590387484449e-09	1.67428692905225e-09
22	Gga.10004.1.S1_at	ENSGALG00000028602	LOC416212	3.84072349123362	3.87798034317683	3.85935191720523	494.858451061431	2.64159033230058e-11	6.0188173795477e-11
23	Gga.10007.1.S1_a_at	NA	TSNARE1	2.35185909149173	2.23445750665348	2.2931582990726	107.709327058661	7.78375557197388e-08	8.58957271117168e-08
24	Gga.10008.1.S1_at	ENSGALG00000006040	UCKL1	3.71335655568581	3.77991331552593	3.74663493560587	545.958765397861	1.56649051209756e-11	3.79316884868376e-11
25	Gga.10009.1.S1_at	ENSGALG00000009983	NUBPL	3.0390892187536	3.05656235385501	3.0478257863043	373.920821120171	1.16840382572555e-10	2.2586555146469e-10
26	Gga.10010.1.S1_at	ENSGALG00000009840	TBK1	6.68635541606806	5.83851948764205	6.26243745185505	371.443219860522	1.2102736199845e-10	2.33138706048734e-10
27	Gga.10011.1.S1_at	NA	NA	4.7925095263674	5.19925780331292	4.99588366484016	393.419740796938	8.92543843159979e-11	1.7779643575551e-10
28	Gga.10012.1.S1_s_at	ENSGALG00000009858	SLC30A1	4.4624237153975	3.98937114863707	4.22589743201728	281.892391932465	5.1998654296292e-10	8.62560104367717e-10
29	Gga.10013.1.S1_at	ENSGALG00000010031	ARHGAP10	7.46894477512047	7.16289887933159	7.31592182722603	1188.75857649459	2.46471801145335e-13	1.13432508290522e-12
30	Gga.10014.1.S1_s_at	NA	NA	2.99266721062698	2.79449608533517	2.89358164798107	110.577062337161	6.80390456441305e-08	7.56431085922684e-08
31	Gga.10015.1.S1_at	ENSGALG00000001058	ARHGEF16	4.25525249373107	4.36627546577006	4.31076397975057	656.791445264338	5.85523649862589e-12	1.61266538072644e-11
32	Gga.10018.1.S1_at	ENSGALG00000010806	RIN3	2.54598178550141	2.22210596163056	2.38404387356598	138.359856088202	2.14584758088758e-08	2.56825536536794e-08
33	Gga.10019.1.S1_at	ENSGALG00000009035	GTPBP10	8.41667054045895	8.20874338149133	8.31270696097514	2395.42251977002	5.785324127267e-15	6.85967816739208e-14
