"JF339976.1/1-322" "HM060333.1/1-322" "AB610395.1/1-324" "JX144881.1/1-324" "JX144880.1/1-324" "EU121124.1/1-324" "AY168599.1/1-324" "JN390971.1/1-322" "JN390972.1/1-324" "JN390970.1/1-324" "JF339974.1/1-324" "AB610394.1/1-324" "JN390969.1/1-324" "JN390968.1/1-324" "AJ226118.1/1-324" "U20923.1/1-324" "DQ145030.1/1-324" "U20922.1/1-324" "U20921.1/1-324" "FJ513332.1/1-324" "KC312629.1/1-324" "EU121125.1/1-324" "JF339972.1/1-322" "HM060334.1/1-322" "DQ145033.1/1-324" "DQ145031.1/1-324" "FJ513333.1/1-324" "FJ513328.1/1-324" "FJ513331.1/1-324" "DQ145032.1/1-324" "FJ513335.1/1-324" "FJ513334.1/1-324" "KF801471.1/1-324" "FJ513336.1/1-324" "FJ513330.1/1-324" "FJ513329.1/1-324" "FJ513341.1/1-324" "FJ513338.1/1-324" "FJ513337.1/1-324" "AB610389.1/1-322" "FJ513340.1/1-324" "FJ513339.1/1-324" "U20926.1/1-324" "FJ513350.1/1-324" "FJ513345.1/1-324" "DQ145034.1/1-324" "DQ145027.1/1-324" "U20927.1/1-324" "FJ513354.1/1-324" "FJ513353.1/1-324" "FJ513352.1/1-324" "FJ513348.1/1-324" "FJ513346.1/1-324" "U20928.1/1-324" "KC934932.1/1-324" "FJ513349.1/1-324" "FJ513344.1/1-324" "FJ513343.1/1-324" "JF289171.1/1-318" "FJ513351.1/1-324" "FJ513347.1/1-324" "JF289172.1/1-318" "FJ513342.1/1-322" "KC934934.1/1-326" "KC934933.1/1-326" "AY046904.1/1-322" "EU121127.1/1-322" "EU121126.1/1-322" "EF092950.1/1-321" "AY625545.1/1-322" "AY625534.1/1-322" "AB610388.1/1-322" "AB610387.1/1-322" "JF289176.1/1-322" "JF289175.1/1-322" "JQ890071.1/1-319" "EF092955.1/1-321" "EF092951.1/1-321" "AY625538.1/1-322" "AY625529.1/1-322" "AF113491.1/1-322" "AY625528.1/1-320" "AY821624.1/1-321" "JQ890072.1/1-319" "AF057991.1/1-319" "AB610367.1/1-322" "EF092954.1/1-321" "AY625550.1/1-322" "AY625548.1/1-322" "AY625547.1/1-322" "AY625544.1/1-322" "AY625530.1/1-322" "AY625519.1/1-322" "AY625518.1/1-322" "AY821605.1/1-321" "AY821601.1/1-321" "AY821597.1/1-321" "AY821580.1/1-321" "AB610372.1/1-322" "AB610371.1/1-322"
"JF339976.1/1-322" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0400134309890421 0.0400134309890421 0.0400134309890421 0.0400134309890421 0 0 0 0 0 0.0403889592987222 0 0 0 0 0 0 0 0 0 0.0405712448956041 0 0 0.0401086827059516 0.0402030213298682 0.0402030213298682 0.0400134309890421 0.0402030213298682 0.0400134309890421 0.0402964468607917 0.0808588787942888 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0400134309890421 0.0401086827059516 0.0400134309890421 0.0400134309890421 0.0405712448956041 0.0401086827059516 0.0399172661791395 0.0405712448956041 0.0400134309890421 0.0402030213298682 0.0401086827059516 0.0404805586436596 0.0406610180545555 0.0406610180545555 0.0406610180545555 0.0404805586436596 0.0408378250934792 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0819445320193642 0.0409248589734515 0.0403889592987222 0.0407498781205138 0.0409248589734515 0.0407498781205138 0.0407498781205138 0.0402030213298682 0.0819445320193642 0.0815901268453779 0.0405712448956041 0.0410109797604308 0.0404805586436596 0.0404805586436596 0.0403889592987222 0.0407498781205138 0.0407498781205138 0.0405712448956041 0.0808588787942888 0.0404805586436596 0.0406610180545555 0.0402964468607917 0.0404805586436596 0.0406610180545555 0.0404805586436596
"HM060333.1/1-322" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0400134309890421 0.0400134309890421 0.0400134309890421 0.0400134309890421 0 0 0 0 0 0.0403889592987222 0 0 0 0 0 0 0 0 0 0.0405712448956041 0 0 0.0401086827059516 0.0402030213298682 0.0402030213298682 0.0400134309890421 0.0402030213298682 0.0400134309890421 0.0402964468607917 0.0808588787942888 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0400134309890421 0.0401086827059516 0.0400134309890421 0.0400134309890421 0.0405712448956041 0.0401086827059516 0.0399172661791395 0.0405712448956041 0.0400134309890421 0.0402030213298682 0.0401086827059516 0.0404805586436596 0.0406610180545555 0.0406610180545555 0.0406610180545555 0.0404805586436596 0.0408378250934792 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0819445320193642 0.0409248589734515 0.0403889592987222 0.0407498781205138 0.0409248589734515 0.0407498781205138 0.0407498781205138 0.0402030213298682 0.0819445320193642 0.0815901268453779 0.0405712448956041 0.0410109797604308 0.0404805586436596 0.0404805586436596 0.0403889592987222 0.0407498781205138 0.0407498781205138 0.0405712448956041 0.0808588787942888 0.0404805586436596 0.0406610180545555 0.0402964468607917 0.0404805586436596 0.0406610180545555 0.0404805586436596
"AB610395.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0400134309890421 0.0400134309890421 0.0400134309890421 0.0400134309890421 0 0 0 0 0 0.0403889592987222 0 0 0 0 0 0 0 0 0 0.0405712448956041 0 0 0.0401086827059516 0.0402030213298682 0.0402030213298682 0.0400134309890421 0.0402030213298682 0.0400134309890421 0.0402964468607917 0.0808588787942888 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0400134309890421 0.0401086827059516 0.0400134309890421 0.0400134309890421 0.0405712448956041 0.0401086827059516 0.0399172661791395 0.0405712448956041 0.0400134309890421 0.0402030213298682 0.0401086827059516 0.0404805586436596 0.0406610180545555 0.0406610180545555 0.0406610180545555 0.0404805586436596 0.0408378250934792 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0819445320193642 0.0409248589734515 0.0403889592987222 0.0407498781205138 0.0409248589734515 0.0407498781205138 0.0407498781205138 0.0402030213298682 0.0819445320193642 0.0815901268453779 0.0405712448956041 0.0410109797604308 0.0404805586436596 0.0404805586436596 0.0403889592987222 0.0407498781205138 0.0407498781205138 0.0405712448956041 0.0808588787942888 0.0404805586436596 0.0406610180545555 0.0402964468607917 0.0404805586436596 0.0406610180545555 0.0404805586436596
"JX144881.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0401085677432489 0.0401085677432489 0.0401085677432489 0.0401085677432489 0 0 0 0 0 0.0404805969645605 0 0 0 0 0 0 0 0 0 0.0406611330172582 0 0 0.0402029446880663 0.0402964085398908 0.0402964085398908 0.0401085677432489 0.0402964085398908 0.0401085677432489 0.0403889592987222 0.0810444955199507 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0401085677432489 0.0402029446880663 0.0401085677432489 0.0401085677432489 0.0406611330172582 0.0402029446880663 0.0400132777054384 0.0406611330172582 0.0401085677432489 0.0402964085398908 0.0402029446880663 0.0405713215374059 0.0407500314041175 0.0407500314041175 0.0407500314041175 0.0405713215374059 0.040925088898857 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0821198424085121 0.0410112480067373 0.0404805969645605 0.0408380166979838 0.0410112480067373 0.0408380166979838 0.0408380166979838 0.0402964085398908 0.0821198424085121 0.0817688726800305 0.0406611330172582 0.0410964940216244 0.0405713215374059 0.0405713215374059 0.0404805969645605 0.0408380166979838 0.0408380166979838 0.0406611330172582 0.0810444955199507 0.0405713215374059 0.0407500314041175 0.0403889592987222 0.0405713215374059 0.0407500314041175 0.0405713215374059
"JX144880.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0401085677432489 0.0401085677432489 0.0401085677432489 0.0401085677432489 0 0 0 0 0 0.0404805969645605 0 0 0 0 0 0 0 0 0 0.0406611330172582 0 0 0.0402029446880663 0.0402964085398908 0.0402964085398908 0.0401085677432489 0.0402964085398908 0.0401085677432489 0.0403889592987222 0.0810444955199507 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0401085677432489 0.0402029446880663 0.0401085677432489 0.0401085677432489 0.0406611330172582 0.0402029446880663 0.0400132777054384 0.0406611330172582 0.0401085677432489 0.0402964085398908 0.0402029446880663 0.0405713215374059 0.0407500314041175 0.0407500314041175 0.0407500314041175 0.0405713215374059 0.040925088898857 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0821198424085121 0.0410112480067373 0.0404805969645605 0.0408380166979838 0.0410112480067373 0.0408380166979838 0.0408380166979838 0.0402964085398908 0.0821198424085121 0.0817688726800305 0.0406611330172582 0.0410964940216244 0.0405713215374059 0.0405713215374059 0.0404805969645605 0.0408380166979838 0.0408380166979838 0.0406611330172582 0.0810444955199507 0.0405713215374059 0.0407500314041175 0.0403889592987222 0.0405713215374059 0.0407500314041175 0.0405713215374059
"EU121124.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0401085677432489 0.0401085677432489 0.0401085677432489 0.0401085677432489 0 0 0 0 0 0.0404805969645605 0 0 0 0 0 0 0 0 0 0.0406611330172582 0 0 0.0402029446880663 0.0402964085398908 0.0402964085398908 0.0401085677432489 0.0402964085398908 0.0401085677432489 0.0403889592987222 0.0810444955199507 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0401085677432489 0.0402029446880663 0.0401085677432489 0.0401085677432489 0.0406611330172582 0.0402029446880663 0.0400132777054384 0.0406611330172582 0.0401085677432489 0.0402964085398908 0.0402029446880663 0.0405713215374059 0.0407500314041175 0.0407500314041175 0.0407500314041175 0.0405713215374059 0.040925088898857 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0821198424085121 0.0410112480067373 0.0404805969645605 0.0408380166979838 0.0410112480067373 0.0408380166979838 0.0408380166979838 0.0402964085398908 0.0821198424085121 0.0817688726800305 0.0406611330172582 0.0410964940216244 0.0405713215374059 0.0405713215374059 0.0404805969645605 0.0408380166979838 0.0408380166979838 0.0406611330172582 0.0810444955199507 0.0405713215374059 0.0407500314041175 0.0403889592987222 0.0405713215374059 0.0407500314041175 0.0405713215374059
"AY168599.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0401085677432489 0.0401085677432489 0.0401085677432489 0.0401085677432489 0 0 0 0 0 0.0404805969645605 0 0 0 0 0 0 0 0 0 0.0406611330172582 0 0 0.0402029446880663 0.0402964085398908 0.0402964085398908 0.0401085677432489 0.0402964085398908 0.0401085677432489 0.0403889592987222 0.0810444955199507 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0401085677432489 0.0402029446880663 0.0401085677432489 0.0401085677432489 0.0406611330172582 0.0402029446880663 0.0400132777054384 0.0406611330172582 0.0401085677432489 0.0402964085398908 0.0402029446880663 0.0405713215374059 0.0407500314041175 0.0407500314041175 0.0407500314041175 0.0405713215374059 0.040925088898857 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0821198424085121 0.0410112480067373 0.0404805969645605 0.0408380166979838 0.0410112480067373 0.0408380166979838 0.0408380166979838 0.0402964085398908 0.0821198424085121 0.0817688726800305 0.0406611330172582 0.0410964940216244 0.0405713215374059 0.0405713215374059 0.0404805969645605 0.0408380166979838 0.0408380166979838 0.0406611330172582 0.0810444955199507 0.0405713215374059 0.0407500314041175 0.0403889592987222 0.0405713215374059 0.0407500314041175 0.0405713215374059
"JN390971.1/1-322" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0400134309890421 0.0400134309890421 0.0400134309890421 0.0400134309890421 0 0 0 0 0 0.0403889592987222 0 0 0 0 0 0 0 0 0 0.0405712448956041 0 0 0.0401086827059516 0.0402030213298682 0.0402030213298682 0.0400134309890421 0.0402030213298682 0.0400134309890421 0.0402964468607917 0.0808588787942888 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0400134309890421 0.0401086827059516 0.0400134309890421 0.0400134309890421 0.0405712448956041 0.0401086827059516 0.0399172661791395 0.0405712448956041 0.0400134309890421 0.0402030213298682 0.0401086827059516 0.0404805586436596 0.0406610180545555 0.0406610180545555 0.0406610180545555 0.0404805586436596 0.0408378250934792 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0819445320193642 0.0409248589734515 0.0403889592987222 0.0407498781205138 0.0409248589734515 0.0407498781205138 0.0407498781205138 0.0402030213298682 0.0819445320193642 0.0815901268453779 0.0405712448956041 0.0410109797604308 0.0404805586436596 0.0404805586436596 0.0403889592987222 0.0407498781205138 0.0407498781205138 0.0405712448956041 0.0808588787942888 0.0404805586436596 0.0406610180545555 0.0402964468607917 0.0404805586436596 0.0406610180545555 0.0404805586436596
"JN390972.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0400134309890421 0.0400134309890421 0.0400134309890421 0.0400134309890421 0 0 0 0 0 0.0403889592987222 0 0 0 0 0 0 0 0 0 0.0405712448956041 0 0 0.0401086827059516 0.0402030213298682 0.0402030213298682 0.0400134309890421 0.0402030213298682 0.0400134309890421 0.0402964468607917 0.0808588787942888 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0401086827059516 0.0400134309890421 0.0401086827059516 0.0400134309890421 0.0400134309890421 0.0405712448956041 0.0401086827059516 0.0399172661791395 0.0405712448956041 0.0400134309890421 0.0402030213298682 0.0401086827059516 0.0404805586436596 0.0406610180545555 0.0406610180545555 0.0406610180545555 0.0404805586436596 0.0408378250934792 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0405712448956041 0.0819445320193642 0.0409248589734515 0.0403889592987222 0.0407498781205138 0.0409248589734515 0.0407498781205138 0.0407498781205138 0.0402030213298682 0.0819445320193642 0.0815901268453779 0.0405712448956041 0.0410109797604308 0.0404805586436596 0.0404805586436596 0.0403889592987222 0.0407498781205138 0.0407498781205138 0.0405712448956041 0.0808588787942888 0.0404805586436596 0.0406610180545555 0.0402964468607917 0.0404805586436596 0.0406610180545555 0.0404805586436596
"JN390970.1/1-324" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0401085677432489 0.0401085677432489 0.0401085677432489 0.0401085677432489 0 0 0 0 0 0.0404805969645605 0 0 0 0 0 0 0 0 0 0.0406611330172582 0 0 0.0402029446880663 0.0402964085398908 0.0402964085398908 0.0401085677432489 0.0402964085398908 0.0401085677432489 0.0403889592987222 0.0810444955199507 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0402029446880663 0.0401085677432489 0.0402029446880663 0.0401085677432489 0.0401085677432489 0.0406611330172582 0.0402029446880663 0.0400132777054384 0.0406611330172582 0.0401085677432489 0.0402964085398908 0.0402029446880663 0.0405713215374059 0.0407500314041175 0.0407500314041175 0.0407500314041175 0.0405713215374059 0.040925088898857 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0406611330172582 0.0821198424085121 0.0410112480067373 0.0404805969645605 0.0408380166979838 0.0410112480067373 0.0408380166979838 0.0408380166979838 0.0402964085398908 0.0821198424085121 0.0817688726800305 0.0406611330172582 0.0410964940216244 0.0405713215374059 0.0405713215374059 0.0404805969645605 0.0408380166979838 0.0408380166979838 0.0406611330172582 0.0810444955199507 0.0405713215374059 0.0407500314041175 0.0403889592987222 0.0405713215374059 0.0407500314041175 0.0405713215374059
